padyam_id	meter	meter_class	satakam	split	text	edit.pos	edit.old	edit.new	edit.direction	edit.line	edit.akshara	edit.word	edit.attested	violation.paada	violation.gana	violation.akshara	violation.observed	violation.aksharas
pdy-kandamu-0091	kandamu	jaathi	""	train	యమునకు నిఁక నె వెఱువను\nకమలాక్ష జగన్నివాస కామితఫలదా\nవిమలమగు నీదు నామము\nనమఁరఁగఁ దలఁచెదను వేగ ననిశము కృష్ణా.	13	ే	ె	shorten	0	6	నె	true	1	1	15	|U|U	["జ","గ","న్ని","వా"]
pdy-seesamu-0117	seesamu	upajaathi	""	test	పలుకుఁగ్రొన్ననఁబోఁడి కులుకు వీణియ మీట వేయుఁగన్నులవేల్పు వేణువూదఁ\nగలుములతొగకంటి చెలఁగి గానము సేయ నలువ కైతాళ మింపలర వ్రెయ\nమధుదైత్యమథనుండు మద్దెల వాయింప సకలపారిషదు లెచ్చరికసేయ\nనందిభృంగీశు లందంద సందడి దీర్ప మొనసి దేవతలెల్ల మ్రొక్కి కొలువ	117	ే	ె	shorten	1	26	వ్రెయ	false	4	0	56	|U||	["ధు","దై","త్య","మ"]
pdy-teytageethi-0128	teytageethi	upajaathi	""	train	భూతలంబునఁ గలిదోషహెతుకమునఁ\nబ్రబలురై రింకనేమి చెప్పంగవలయు\nభూనుతవిలాస, పీఠికాపురనివాస,\nకుముదహితకోటిసంకాశ, కుక్కుటేశ!	17	ే	ె	shorten	0	9	గలిదోషహెతుకమునఁ	false	1	0	15	||U	["బ","లు","రై"]
pdy-kandamu-0190	kandamu	jaathi	""	train	విను ప్రాణరక్షణమున\nన్‌ ధనమంతయు మునిగిఁపోవు తఱిఁ బరిణయమం\nదున గురుకార్యమున వధు\nజన సంఘములందు బొంకఁ జనును గుమారా!	75	ూ	ు	shorten	2	9	వధు	false	3	1	40	|U|U	["ము","లం","దు","బొం"]
pdy-teytageethi-0200	teytageethi	upajaathi	""	train	ననుదినంబును భక్తితో నభినుతించి ।\nసకలజనములు వీని సంతసమున జెలగ\nసీసశతకం బొనర్చెద చిత్తగింప ।\nవలయు శ్రీరామరామ లావణ్యసీమ.	44	ి	ీ	lengthen	1	7	వీని	true	2	0	30	|U|	["గ","సీ","స"]
pdy-teytageethi-0211	teytageethi	upajaathi	""	test	తమిని కళలూర నొసట కెంజెమట జార ।\nకదలవలదని యేదనెద నదిమి గదిమి\nయుపరతి యొనర్చునాటి నీ హొయలు దలప ।\nవశమటే రామరామ లావణ్యసీమ.	41	ె	ే	lengthen	1	7	యేదనెద	false	2	2	39	|U|U	["ర్చు","నా","టి","నీ"]
pdy-teytageethi-0213	teytageethi	upajaathi	""	test	వెనక జిక్కితిరో యని వెన్ను జరచి ।\nనొసటి చెమ్మట పయ్యెదనొత్తికొనుచు\nనిలిచి నను జూచి పలికిన నిటు దలప ।\nవశమటే రామరామ లావణ్యసీమ.	90	ీ	ి	shorten	2	11	నిటు	true	3	0	45	||U	["శ","మ","టే"]
pdy-teytageethi-0228	teytageethi	upajaathi	""	dev	ముద్దుబెట్టుక నవ్వుచు ముదిత నీవు ।\nనెవరి పెండ్లాడెదవటంచు నేను బలుక\nనిన్నె యని మీసములు మీటు నిటు దలప ।\nవశమటే రామరామ లావణ్యసీమ.	92	ీ	ి	shorten	2	10	నిటు	true	3	0	44	||U	["శ","మ","టే"]
pdy-teytageethi-0270	teytageethi	upajaathi	""	test	ప్రేమ నెటు దాతు మదికి మందేమి సేతు ।\nనెపుడు నిను జూతు నింక నేనెటుల సైతు\nబిరుదు నిక తీతు మరునిదే పెద్ద భితు ।\nవశమటే రామరామ లావణ్యసీమ.	102	ీ	ి	shorten	2	13	భితు	false	3	0	45	||U	["శ","మ","టే"]
pdy-teytageethi-0272	teytageethi	upajaathi	""	train	వెలది నినుజేరి మదికేరి వేడ్కమీరి ।\nగోర తొడజీరి మరుబారి కొదువదిరి\nకడిమి నొకసారి చలపోరి కలయగోరి ।\nవచ్చితినె రామరామ లావణ్యసీమ.	61	ీ	ి	shorten	1	13	కొదువదిరి	false	2	1	34	|U||	["క","సా","రి","చ"]
pdy-teytageethi-0325	teytageethi	upajaathi	""	train	యనుచు దనలోనె తలపోసి యతివ నీదు\nరాక గొరుచునున్నది రవ్వలేల\nగాననిక నేలుకొనవయ్య కరుణగల్గి\nమదనగోపాల సత్యభామావిలోల!	35	ో	ొ	shorten	1	2	గొరుచునున్నది	false	2	0	30	||U	["ని","క","నే"]
pdy-teytageethi-0357	teytageethi	upajaathi	""	train	గాన వగలాడికిని సాటిగలరె భువిని\nచాన నీకైన దగు మంచిజాణ గదర\nమానకీక నేలుకొనవయ్య మదనజనక\nమదనగోపాల సత్యభామావిలోల!	61	ి	ీ	lengthen	2	2	మానకీక	false	3	1	48	|UU|	["న","గో","పా","ల"]
pdy-teytageethi-0381	teytageethi	upajaathi	""	train	వెలయు నారామమున జేరి వేలది మదన\nతాపమున నిన్ను దలచుచు దాళలేక\nయున్నదిక వేగ రావయ్య యూరడింప\nమదనగోపాల సత్యభామావిలోల!	21	ె	ే	lengthen	0	10	వేలది	false	1	0	15	|U|	["న","తా","ప"]
pdy-kandamu-0402	kandamu	jaathi	""	train	నాలుగుత్రోవలనడుమను\nశ్రీలీలను వ్రేలుచున్న చిహ్నంబులఁ దా\nనాలోచించినబుద్ధీవి\nశాలుండౌ ముక్తుఁడన్న! సంపఁగిమన్నా!	70	ి	ీ	lengthen	2	6	నాలోచించినబుద్ధీవి	false	3	0	30	|UUU	["వి","శా","లుం","డౌ"]
pdy-kandamu-0525	kandamu	jaathi	""	dev	వెలయాలివలనఁ గూరిమి\nగలుగదు మఱిఁ గలిగెనేని కడతేరదుగా\nపలువురు నడిచెడు తేరువునఁ\nబులు మొలవదు మొలిచెనేని బొదలదు సుమతీ!	68	ె	ే	lengthen	2	8	తేరువునఁ	false	3	2	46	||U|	["లి","చె","నే","ని"]
pdy-teytageethi-0561	teytageethi	upajaathi	""	dev	వందనము నీకు సతతము యిందిరేశ\nనందనందన శ్రిధర కుందరదన\nతరుణి నీవేగి యిచటికి తాడిమళ్ళ\nరాజగోపాలు దేగదే రాజవదన.	38	ీ	ి	shorten	1	5	శ్రిధర	false	2	0	29	|UU	["ణి","నీ","వే"]
pdy-kandamu-0590	kandamu	jaathi	""	test	తానును సమస్తభూవనము\nలోనసువుల యంగఁదెలిసి లోనను వెలయు\nన్‌ దానై వెలుఁగఁగ నేర్చిన\nమానవునకు ముక్తి గలుగు మహిలో వేమా.	13	ు	ూ	lengthen	0	6	సమస్తభూవనము	false	1	1	12	|||U	["సు","వు","ల","యం"]
pdy-aataveladi-0490	aataveladi	upajaathi	""	test	మనసులోని ముక్తి మఱియొక్క చోటను\nవెదుకఁబోవువాఁడు వెఱ్ఱివాఁడు\nగొఱ్ఱెఁ జింకఁ బెట్టి గొల్ల వెదూకురీతి\nవిశ్వదాభిరామ వినర వేమ.	89	ు	ూ	lengthen	2	9	వెదూకురీతి	false	3	0	37	|U|	["తి","వి","శ్వ"]
pdy-aataveladi-0512	aataveladi	upajaathi	""	train	అద నెఱీఁగిన మగువ యనువెర్గు చనువెర్గు\nముదముతోడ మగని మోహ మెఱుఁగు\nవిభుని శ్రేష్ఠగుణము వేశ్యతా నెఱుఁగునా\nవిశ్వదాభిరామ వినర వేమ.	6	ి	ీ	lengthen	0	3	నెఱీఁగిన	false	1	1	19	|U|	["ము","తో","డ"]
pdy-kandamu-0652	kandamu	jaathi	""	train	మనసనలము రెంటీకినిల\nఘనమును కొంచెంబుఁ దెలియఁగావలె సుమ్మీ\nకనుమూసి తెరచినంతనె\nఘనమై విహరించుమనసుఁగానరు వేమా.	12	ి	ీ	lengthen	0	7	రెంటీకినిల	false	1	1	14	|UU|	["ను","కొం","చెం","బు"]
pdy-aataveladi-0779	aataveladi	upajaathi	""	train	దానధర్మములును దయయు సత్యము నీతి\nవినయ ధైర్య శౌర్య వీతరణములు\nరాజుపాలిటి కివి రాజయోగంబులు\nవిశ్వదాభిరామ వినర వేమ.	49	ి	ీ	lengthen	1	7	వీతరణములు	false	2	0	27	|U|	["లు","రా","జు"]
pdy-aataveladi-0818	aataveladi	upajaathi	""	dev	చెఱకులోననైనఁ జెడ్డగుణం బున్నఁ\nదీసివేయకున్నఁ దినగఁ బోసగ\nదంతిపురము ద్రోహి యాతఁడెట్లుండురా\nవిశ్వదాభిరామ వినర వేమ.	51	ొ	ో	lengthen	1	9	బోసగ	false	2	0	24	|U|	["గ","దం","తి"]
pdy-aataveladi-0879	aataveladi	upajaathi	""	train	పుట్టుదుఃఖమూనను పొరలుదుఃఖమునను\nగిట్టుదుఃఖమునను క్రిం దగుదురు\nమనుజదుఃఖమువలె మఱిలేదు దుఃఖంబు\nవిశ్వదాభిరామ వినర వేమ.	11	ు	ూ	lengthen	0	4	పుట్టుదుఃఖమూనను	false	1	0	13	||U	["న","ను","గి"]
pdy-aataveladi-0922	aataveladi	upajaathi	""	dev	కంబళములఁ గట్టి గంటలు గజ్జలు\nబోడితలలు కావి బొంతచీటికె\nలాత్మదేవపూజ లవి సేయనేరవు\nవిశ్వదాభిరామ వినర వేమ.	47	ి	ీ	lengthen	1	9	బొంతచీటికె	false	2	0	24	|U|	["కె","లా","త్మ"]
