id	task	meter	anchor_paada	makuta_ending	prasa_consonant	first_weight	source_padyam_id	reference_paadas
pdy-gs-mattebhamu-00	generate_samasya	mattebhamu	మరుదీశోపలనీలమూర్తి ధర! రామా! భక్తమందారమా!	true	ర	|	pdy-mattebhamu-0045	["సరసుం డాతఁడు పెద్ద యాతఁడు మహాసౌందర్యవంతుం డతం","డరిహృద్భీకరశౌర్యధుర్యుఁ డతఁ డుద్యద్దానకర్ణుం డతం","డురుగోత్రోద్భవుఁ డాత డెవ్వడిల నుద్యోగార్థసంపన్నుఁడౌ"]
pdy-gs-champakamaala-00	generate_samasya	champakamaala	ఫల మొనఁగూడెనంచు నుతిఁ బల్కెడు తల్లినిఁ బోలరెవ్వరున్.	true	ల	|	pdy-champakamaala-0219	["తలఁపున నున్న భావ మొకదారిఁ జెలంగఁగ వచ్చిరాని మా-","టలు మఱి పల్కువేళఁ గడు ఠాయి జెలంగెడు శౌరిసత్కథా-","కలితవినోదముల్ వినెడు కైవడిగా వడి నాలకించుచో"]
pdy-gs-saardulamu-00	generate_samasya	saardulamu	న్ బ్రాయశ్చిత్తము నాకునెద్ది? రఘువీరా! జానకీనాయకా!	true	య	U	pdy-saardulamu-0188	["నా యజ్ఞానముఁ బాపుమంచు మదిలో నానాప్రకారంబుల","న్ గూయం గూయ నదేమిరా యనవు నీకున్ మ్రొక్కనా? కుక్కనా?","చీ యంచేటికి రోఁతగించెదవు? నీచిత్తంబు రాకుండిన"]
pdy-gs-kandamu-00	generate_samasya	kandamu	జదువునె యాపంజరమున జగతిని సుమతీ.	false	ద	|	pdy-kandamu-0531	["మది నొకని వలచియుండఁగ","మది చెడి యొక క్రూరవిటుఁడు మానక తిరుగు","న్‌ అది చిలుకఁ బిల్లిపట్టినఁ"]
pdy-gs-kandamu-01	generate_samasya	kandamu	రిణి యగు జననియును దలప రిపులు కుమారా!	false	ణ	|	pdy-kandamu-0202	["ఋణ మధిక మొనర్చి సమ","ర్పణ జేసిన తండ్రి, విద్య రాని కొడుకు, ల","క్షణశాలి రాణి దుశ్చా"]
pdy-gs-vutpalamaala-00	generate_samasya	vutpalamaala	న్‌ జాజులకొప్పువీడ సరసంబున వీచును వేంకటేశ్వరా!	false	జ	U	pdy-vutpalamaala-0248	["రాజసలీల నన్నును గరంబునఁ బట్టకు చూప వేల నీ","తేజము నాకటంచు సుదతీమణి శ్రీయలమేలుమంగ ని","న్నీ జగదేకనాయకుని నింపొలయించుచు సారెసారెకు"]
pdy-gs-kandamu-02	generate_samasya	kandamu	పను దగియును బ్రోవఁ డతఁడె పాపి కుమారా!	false	న	|	pdy-kandamu-0173	["మనుజుల తమసౌఖ్యము కొఱ","కును సంరక్షణము నవనిఁ గోరుదు, రొగి నే","జనపాలుఁడు సంరక్షిం"]
pdy-gs-champakamaala-01	generate_samasya	champakamaala	ల్తనువునకున్‌ విరోధమిది దాశరథీ! కరుణాపయోనిధీ!	true	న	|	pdy-champakamaala-0170	["మనమున నూహపోహణలు మర్వకమున్నె కఫాదిరోగము","ల్‌ దనువుననంటి మేనిబిగి దప్పకమున్నె నరుండు మోక్ష సా","ధన మొనరింపఁగావలయుఁ దత్త్వవిచారము మానియుండుట"]
pdy-gs-mattebhamu-01	generate_samasya	mattebhamu	సి హతక్లేశులుగారుగాక మనుజుల్‌ శ్రీకాళహస్తీశ్వరా!	false	హ	|	pdy-mattebhamu-0564	["గ్రహదోషంబులు దుర్నిమిత్తములు నీ కల్యాణనామంబు ప్ర","త్యహముంబేర్కొను నుత్తమోత్తముల బాధంబెట్టగానోపునే","దహనుం గప్పఁగఁజాలునే శలభసంతానంబు నీ సేవఁజే"]
pdy-gs-mattebhamu-02	generate_samasya	mattebhamu	చలదుష్పంకముఁ బొంది పీడఁ బడఁగాఁ జర్చింప సర్వేశ్వరా!	false	ల	|	pdy-mattebhamu-0516	["మలినాంగుం డగుటేమి కష్టము మనోమార్గంబు నీ భక్తిని-","ర్మలసౌభాగ్యనిధానదీపశిఖయై రంజిల్లదే భూషణో-","జ్జ్వలదేహుం డగుటేమి తేజము మనోవ్యావృత్తి దుర్మోహసం-"]
pdy-gs-mattebhamu-03	generate_samasya	mattebhamu	ర్పడి తౌరా విలుకాండ్రలోన రఘువీరా! జానకీనాయకా!	true	డ	|	pdy-mattebhamu-0367	["వడి మీఱంగ నమోఘమై నిగుడు నీ వాలమ్ము వాలమ్ముఁ దాఁ","కెడు నంచున్ మెడ యొడ్డినన్ జమరిపైఁ గీల్కొన్న కారుణ్య మే","ర్పడ మున్నేసిన యమ్ము వేఱె యొక నారాచమ్మునం ద్రుంచి పే"]
pdy-gs-mattebhamu-04	generate_samasya	mattebhamu	రసవాదంబులు నేర్చితౌర రఘువీరా! జానకీనాయకా!	true	స	|	pdy-mattebhamu-0421	["కసుమాలంబగు దేహిపుట్టువుల నీ కష్టంబులం బాపి ది","వ్యసుకాయం బొనరింతు వెవ్వఁడు నినున్ వాక్రుచ్చినన్ యోగిమా","నస గేహంబులనుండి; లోహము సువర్ణచ్ఛాయగాఁ జేయఁగా"]
