padyam_id	meter	meter_class	satakam	split	text	gold_valid	violated	violated_raw	edit.pos	edit.old	edit.new	edit.direction	edit.line	edit.akshara	edit.word	edit.attested	violation.paada	violation.gana	violation.akshara	violation.observed	violation.aksharas	id	edit	violation
pdy-seesamu-0005	seesamu	upajaathi	""	test	శ్రీకాకూళము భక్తలోక చింతామణి- శ్రీకాకుళము సుకృతాకరంబు\nశ్రీకాకుళము ధరాలోక వైకుంఠంబు- శ్రీకాకుళము మర్త్యసేవితంబు\nశ్రీకాకుళము వేదసిద్ధాంత మహిమంబు- శ్రీకాకుళము హతవ్యాకులంబు\nశ్రీకాకుళము మహాక్షేత్రావతంసంబు- శ్రీకాకుళము సర్వసిద్ధికరము	false	["card","seq"]	["card","corr","seq"]	7	ు	ూ	lengthen	0	2	శ్రీకాకూళము	false	0	0	0	UUU|	["శ్రీ","కా","కూ","ళ"]	pdy-v-00000		
pdy-seesamu-0008	seesamu	upajaathi	""	test	వరమిచ్చినట్టి శంకరుని కెగ్గు దలంచు- భస్మాసురుని పేరుఁ బాపినావు\nతనయిల్లుఁ గాచు నుగ్రుని బోరుటకూఁ బిల్చు- బాణుచేతులు తెగఁ బఱికినావు\nతొలుమిన్కు లజుని మ్రుచ్చిలి గొన్న సోమకుఁ- జంపి విద్యలు ధాత కంపినావు\nబలిమి దైత్యులు సుధాకలశము న్గొన వారి- వంచించి సురలకుఁ బంచినావు	false	["seq"]	["seq"]	93	ు	ూ	lengthen	1	12	బోరుటకూఁ	false	2	3	37	|UU|	["ట","కూ","బి","ల్చు"]	pdy-v-00001		
pdy-seesamu-0013	seesamu	upajaathi	""	train	మానితంబుగ గరుత్మద్ధ్వజారోహణం- బెప్పుడొనర్తువో చెప్పుమయ్య!\nగరిమతో నీ తిరుక్కల్యాణసంభ్రమం- బెప్పు డెప్పుడొ వేగ చెప్పు మయ్య\nరమతో మహోన్నతరథ మెక్కి తిరువీథు- లెప్పు డేతెంతువో చెప్పు మయ్య\nధరణి నభ్యాగతదాన ప్రజాబృంద- మెప్పుడు బలియునో చెప్పు మయ్య	true	[]	[]														pdy-v-00002		
pdy-seesamu-0018	seesamu	upajaathi	""	train	అబ్బుకో గలవొ కాయక్లేశ మొనరించుఁ- దేవాసురు లటుండ దివ్యరమను\nదోచుకోఁ గలవొ చే సాచీ లోకము లాచి- బలిమహాదాత వైభవము లెల్ల\nరాఁ దీయఁగలవొ సత్రాజిత్తుఁ డీకున్న- మణిశమంతక మొక మమతఁ గొల్పి\nనాటించఁ గలవొ సన్న కసన్ననె వనంబు- పెట్టు మ్రాన్పెకలించి పెరటిలోనఁ	false	["seq"]	["corr","seq"]	77	ి	ీ	lengthen	1	8	సాచీ	false	2	2	33	UUU|	["సా","చీ","లో","క"]	pdy-v-00003		
pdy-seesamu-0020	seesamu	upajaathi	""	train	కన్నవారల మున్ను గారాగృహంబున- విడిచి పాఱితివి నీ కడిమి యేమి?\nపగవాఁడు పురిటిలోఁ బట్టి నెత్తుకపోవఁ- దమకించుచున్న నీ ధైర్య మేమి?\nముద్దుమన్మని గోప్యముగ నొండు బంధింపఁ- దెలియన ట్లున్న నీ తెగువ యేమి?\nవైరిధాటికి నోడి వనధి మధ్యమునందు- నిలు గట్టుకొన్న నీ బలిమి యేమి?	true	[]	[]														pdy-v-00004		
pdy-seesamu-0022	seesamu	upajaathi	""	train	విమతభూపతు లెట్లు విముఖులై పాఱిరో- రాజపీఠం బెక్కరాని నీకు\nకుంభినీధవు లెట్లు కూఁతుండ్ర నిచ్చిరో- కుల మొల్లకయె నీకు గోపకునకు\nసుందరీమణు లెట్లు చూచి మోహించిరో- క ప్పగు మైచాయ గలుగునీకు\nదాసజనం బెట్లు దాస్యంబు సలిపిరో- తిరియువానిని మారు తిరియు నీకు	true	[]	[]														pdy-v-00005		
pdy-seesamu-0025	seesamu	upajaathi	""	dev	వ్రేపల్లెలో గొల్లవెలఁదులు గొట్ట రా- దొడిదొడి యిల్లిల్లుఁ దూఱలేదొ\nరాసకేళికయందు రమణులా యెందఱో- చుట్టి పట్టినఁ బాఱఁ జూడలేదొ\nపదియాఱు వెల గోపకుమారికలు తేరి- పాఱఁ జూచిన మతి బ్రమయలేదొ\nప్రణయవాదంబున భార్య లా యెనమండ్రు- గసరివేసినఁ గూర్మిఁ గొసరలేదొ	false	["seq"]	["corr","seq"]	130	ే	ె	shorten	2	4	వెల	true	4	2	57	|U||	["కు","మా","రి","క"]	pdy-v-00006		
pdy-seesamu-0031	seesamu	upajaathi	""	test	దూడలలోఁ బెరదుడ మేయఁగఁజూచి- యట్టె పట్టుక చావఁగొట్టవలెనె\nపొడవ రా వేగ నాబోఁతుకొమ్ములు పట్టి- విడువక దానిపే రుడుపవలెనె\nముక్కుతోఁ జెనకిన కొక్కెరాయనిఁ బట్టి- వెర వొప్పఁగా మెడ విఱువవలెనె\nతన్నుఁ బో తని మృగాధమ మంచు నెంచక- తొడరి గార్ధభమును ద్రుంపవలెనె	false	["seq"]	["corr","seq"]	12	ూ	ు	shorten	0	6	బెరదుడ	false	0	3	10	|U|U	["గ","జూ","చి","య"]	pdy-v-00007		
pdy-seesamu-0035	seesamu	upajaathi	""	train	రాజు లెవ్వరుఁ బఙ్క్తిభోజన మిడకున్న- దాసునింట భుజించి తనియలేదొ?\nబంధువు లెవ్వరు గంధ మీ కుండిన- మువ్వంకలది పూయ మురియలేదొ?\nదొర లెవ్వరును బూలసరము లీకుండినఁ- దెలిసి మాలికుఁ డీగ నలరలేదొ?\nప్రభువు లెవ్వరు వస్త్రబహుమాన మీ కున్నఁ- దెచ్చి యిచ్చిన చాకీ మెచ్చలేదొ?	false	["seq"]	["seq"]	238	ి	ీ	lengthen	3	21	చాకీ	false	7	1	96	||UU	["చ్చి","న","చా","కీ"]	pdy-v-00008		
pdy-seesamu-0038	seesamu	upajaathi	""	train	బొచ్చెచేఁపకు నైన మచ్చరం బున్నది- తాఁబేటి కైన సత్త్వంబు గలదు\nడీకొన్న నడవిపందికిఁ గల్గు రోసంబు- తెరనోటినరుఁడైనఁ దెగువ సేయుఁ\nబొట్టీవానికి నైన దిట్టతనం బుండు- బాపని కైన దర్పంబు గలదు\nచుంచురాజున కైన శూరత్వ మున్నది- ముసలికి నైనఁ జేపుష్టి గలదు	false	["seq"]	["corr","seq"]	127	ి	ీ	lengthen	2	1	బొట్టీవానికి	false	4	0	51	UUU|	["బొ","ట్టీ","వా","ని"]	pdy-v-00009		
pdy-seesamu-0040	seesamu	upajaathi	""	dev	పూతనాకుచకుంభపూర్ణ విషస్తన్య- పాయివై బ్రదికిన భాగ్య మేమి?\nకాళియాశీవిషగ్రసన ప్రమాదంబు గడచి జీవించిన ఘనత యేమి?\nచాణూరమల్లదో స్తంభ ఘట్టన కోర్చి- లబ్ధజయుఁడ వైన లాభ మేమి?\nసాళ్వరాజామోఘ శక్తిప్రయోగంబు- మరలించుకొనిన సామర్ధ్యమేమి?	true	[]	[]														pdy-v-00010		
pdy-seesamu-0042	seesamu	upajaathi	""	dev	కడు దొంగతనమునఁ గని తల్లి వైచినఁ- దనబిడ్డనిగ బెంచె నిను యశోద\nజనని గర్భము దించుకొనిన వేఱొకతల్లి- కడుపుఁ జేసికొనంగ గలిగెనన్న\nతండ్రి వివాహయత్నము సేయ నొల్లక- తగులుక వచ్చె నీ ధర్మపత్ని\nయన్న రారాజు కీనున్న నీసోదరి- యింటికి జోగిరా నంటుకొనియె	true	[]	[]														pdy-v-00011		
pdy-seesamu-0043	seesamu	upajaathi	""	train	పక్షంబు గల దండ్రు పాండుపుత్రులయందు- పాండవుల్‌ పడినట్టి పాటులేమి!\nపూర్వజన్మమునందుఁ బూజించె గజ మండ్రు- గజరాజు పొందిన గాసి యేమీ!\nయల కుచేలునకు బాల్యస్నేహితుఁడ వండ్రు- నెఱిఁ గుచేలుఁడు పడ్డనెవ్వ లేమి!\nప్రహ్లాదుఁ డాజన్మభక్తియుక్తుం డండ్రు- ప్రహ్లాదుఁ డొందిన బాధ లేమి!	false	["seq"]	["corr","seq"]	123	ి	ీ	lengthen	1	24	యేమీ	true	3	3	48	UU|	["యే","మీ","య"]	pdy-v-00012		
pdy-seesamu-0049	seesamu	upajaathi	""	dev	నమ్ముదు రేరీతి నారదు నాత్మజు- మానిని జేసిన మాయవానిఁ?\nదలఁతు రేరీతి నల్‌దలలదయము నోలి- బొడ్డుదమ్మినిఁ గన్న పురుషమణిని?\nభూషింతు రేరీతి పుష్పబాణవిరోధి- విషయభ్రమితుఁ జేయు వేసగానీ?\nభాషింతు రేరీతి బ్రహ్మాదిమశకప- ర్యంతంబు గలిగిన వింతవాని?	false	["seq"]	["corr","seq"]	171	ి	ీ	lengthen	2	24	వేసగానీ	false	5	3	73	UUU	["గా","నీ","భా"]	pdy-v-00013		
pdy-seesamu-0059	seesamu	upajaathi	""	train	కొనముట్ట హెచ్చుతగ్గుల ప్రాతఁసుద్దుల- తాతపుస్తక మొకఁ డాతతాయి\nమ్రుచ్చిలి నీటిలోఁ జొచ్చి డాఁగిన వాని- పావన మేమి వెంబడిగఁ బెద్ద\nకోఱమీనంబవై యాఱొండుసంద్రము- ల్నిముసంబులో నీఁది నెమకి వాని\nడొక్క వ్రక్కలుగాఁ గఱుక్కున బరిఁ గోసి- కడ లేనినుడువు లెక్కటికి నోట	true	[]	[]														pdy-v-00014		
